time,T_mean
20.10.2020 00:00,5.7
20.10.2020 01:00,5.0
20.10.2020 02:00,4.1
20.10.2020 03:00,3.9
20.10.2020 04:00,3.8
20.10.2020 05:00,4.0
20.10.2020 06:00,4.0
20.10.2020 07:00,4.0
20.10.2020 08:00,3.7
20.10.2020 09:00,3.7
20.10.2020 10:00,4.0
20.10.2020 11:00,5.7
20.10.2020 12:00,8.0
20.10.2020 13:00,10.3
20.10.2020 14:00,12.3
20.10.2020 15:00,13.0
20.10.2020 16:00,13.7
20.10.2020 17:00,13.8
20.10.2020 18:00,14.5
20.10.2020 19:00,14.1
20.10.2020 20:00,12.9
20.10.2020 21:00,11.6
20.10.2020 22:00,10.7
20.10.2020 23:00,10.0
21.10.2020 00:00,9.5
21.10.2020 01:00,9.0
21.10.2020 02:00,7.8
21.10.2020 03:00,7.7
21.10.2020 04:00,7.8
21.10.2020 05:00,7.7
21.10.2020 06:00,7.7
21.10.2020 07:00,7.7
21.10.2020 08:00,7.7
21.10.2020 09:00,7.3
21.10.2020 10:00,7.7
21.10.2020 11:00,9.0
21.10.2020 12:00,11.3
21.10.2020 13:00,13.3
21.10.2020 14:00,14.3
21.10.2020 15:00,14.3
21.10.2020 16:00,14.0
21.10.2020 17:00,14.2
21.10.2020 18:00,14.6
21.10.2020 19:00,14.5
21.10.2020 20:00,14.1
21.10.2020 21:00,13.6
21.10.2020 22:00,13.3
21.10.2020 23:00,12.3
22.10.2020 00:00,11.6
22.10.2020 01:00,10.9
22.10.2020 02:00,10.1
22.10.2020 03:00,9.5
22.10.2020 04:00,8.1
22.10.2020 05:00,7.3
22.10.2020 06:00,7.0
22.10.2020 07:00,7.7
22.10.2020 08:00,8.0
22.10.2020 09:00,8.0
22.10.2020 10:00,8.7
22.10.2020 11:00,10.0
22.10.2020 12:00,12.0
22.10.2020 13:00,14.0
22.10.2020 14:00,15.7
22.10.2020 15:00,17.0
22.10.2020 16:00,18.0
22.10.2020 17:00,18.6
22.10.2020 18:00,19.0
22.10.2020 19:00,17.6
22.10.2020 20:00,16.0
22.10.2020 21:00,14.7
22.10.2020 22:00,13.8
22.10.2020 23:00,13.5
23.10.2020 00:00,13.2
23.10.2020 01:00,12.9
23.10.2020 02:00,12.5
23.10.2020 03:00,12.4
23.10.2020 04:00,12.3
23.10.2020 05:00,12.2
23.10.2020 06:00,12.2
23.10.2020 07:00,12.2
23.10.2020 08:00,12.1
23.10.2020 09:00,12.0
23.10.2020 10:00,12.0
23.10.2020 11:00,12.3
23.10.2020 12:00,12.7
23.10.2020 13:00,13.0
23.10.2020 14:00,13.0
23.10.2020 15:00,13.3
23.10.2020 16:00,13.7
23.10.2020 17:00,14.0
23.10.2020 18:00,13.9
23.10.2020 19:00,13.4
23.10.2020 20:00,12.8
23.10.2020 21:00,12.5
23.10.2020 22:00,12.4
23.10.2020 23:00,12.4
24.10.2020 00:00,12.3
24.10.2020 01:00,12.1
24.10.2020 02:00,11.7
24.10.2020 03:00,11.4
24.10.2020 04:00,11.5
24.10.2020 05:00,11.7
24.10.2020 06:00,12.0
24.10.2020 07:00,12.0
24.10.2020 08:00,11.7
24.10.2020 09:00,11.3
24.10.2020 10:00,11.3
24.10.2020 11:00,12.0
24.10.2020 12:00,13.0
24.10.2020 13:00,13.7
24.10.2020 14:00,14.3
24.10.2020 15:00,15.0
24.10.2020 16:00,15.7
24.10.2020 17:00,16.0
24.10.2020 18:00,15.6
24.10.2020 19:00,14.6
24.10.2020 20:00,13.0
24.10.2020 21:00,11.3
24.10.2020 22:00,9.9
24.10.2020 23:00,9.1
25.10.2020 00:00,8.6
25.10.2020 01:00,6.9
25.10.2020 02:00,5.3
25.10.2020 03:00,5.0
25.10.2020 04:00,5.0
25.10.2020 05:00,5.3
25.10.2020 06:00,4.7
25.10.2020 07:00,4.3
25.10.2020 08:00,4.3
25.10.2020 09:00,5.0
25.10.2020 10:00,6.3
25.10.2020 11:00,8.3
25.10.2020 12:00,11.0
25.10.2020 13:00,13.3
25.10.2020 14:00,15.0
25.10.2020 15:00,16.0
25.10.2020 16:00,17.0
25.10.2020 17:00,15.9
25.10.2020 18:00,14.3
25.10.2020 19:00,12.3
25.10.2020 20:00,10.9
25.10.2020 21:00,9.9
25.10.2020 22:00,9.5
25.10.2020 23:00,9.2
26.10.2020 00:00,8.8
26.10.2020 01:00,8.3
26.10.2020 02:00,8.8
26.10.2020 03:00,9.3
26.10.2020 04:00,9.7
26.10.2020 05:00,10.0
26.10.2020 06:00,9.7
26.10.2020 07:00,9.0
26.10.2020 08:00,8.0
26.10.2020 09:00,7.3
26.10.2020 10:00,7.0
26.10.2020 11:00,7.0
26.10.2020 12:00,6.7
26.10.2020 13:00,6.3
26.10.2020 14:00,6.0
26.10.2020 15:00,6.0
26.10.2020 16:00,5.8
26.10.2020 17:00,5.5
26.10.2020 18:00,5.1
26.10.2020 19:00,4.7
26.10.2020 20:00,4.6
26.10.2020 21:00,4.4
26.10.2020 22:00,4.3
26.10.2020 23:00,4.2
27.10.2020 00:00,4.2
27.10.2020 01:00,5.1
27.10.2020 02:00,5.0
27.10.2020 03:00,5.0
27.10.2020 04:00,5.0
27.10.2020 05:00,5.3
27.10.2020 06:00,5.7
27.10.2020 07:00,6.0
27.10.2020 08:00,6.3
27.10.2020 09:00,7.0
27.10.2020 10:00,8.3
27.10.2020 11:00,9.0
27.10.2020 12:00,10.0
27.10.2020 13:00,10.3
27.10.2020 14:00,11.3
27.10.2020 15:00,11.3
27.10.2020 16:00,11.0
27.10.2020 17:00,10.0
27.10.2020 18:00,8.5
27.10.2020 19:00,7.0
27.10.2020 20:00,5.9
27.10.2020 21:00,4.8
27.10.2020 22:00,4.1
27.10.2020 23:00,3.8
28.10.2020 00:00,4.0
28.10.2020 01:00,5.6
28.10.2020 02:00,7.2
28.10.2020 03:00,8.0
28.10.2020 04:00,8.0
28.10.2020 05:00,8.3
28.10.2020 06:00,8.3
