time,T_mean
31.10.2021 00:00,7.8
31.10.2021 01:00,8.4
31.10.2021 02:00,9.8
31.10.2021 03:00,8.9
31.10.2021 04:00,8.9
31.10.2021 05:00,8.8
31.10.2021 06:00,8.6
31.10.2021 07:00,8.4
31.10.2021 08:00,9.9
31.10.2021 09:00,11.6
31.10.2021 10:00,13.3
31.10.2021 11:00,14.2
31.10.2021 12:00,15.1
31.10.2021 13:00,16.0
31.10.2021 14:00,16.3
31.10.2021 15:00,16.9
31.10.2021 16:00,15.5
31.10.2021 17:00,13.1
31.10.2021 18:00,11.4
31.10.2021 19:00,11.2
31.10.2021 20:00,11.0
31.10.2021 21:00,10.6
31.10.2021 22:00,10.8
31.10.2021 23:00,11.2
01.11.2021 00:00,10.6
01.11.2021 01:00,10.4
01.11.2021 02:00,11.1
01.11.2021 03:00,11.1
01.11.2021 04:00,11.9
01.11.2021 05:00,10.6
01.11.2021 06:00,9.6
01.11.2021 07:00,8.7
01.11.2021 08:00,8.3
01.11.2021 09:00,8.1
01.11.2021 10:00,8.4
01.11.2021 11:00,8.7
01.11.2021 12:00,9.0
01.11.2021 13:00,8.9
01.11.2021 14:00,9.0
01.11.2021 15:00,9.1
01.11.2021 16:00,9.3
01.11.2021 17:00,8.5
01.11.2021 18:00,8.0
01.11.2021 19:00,7.6
01.11.2021 20:00,6.6
01.11.2021 21:00,6.8
01.11.2021 22:00,7.2
01.11.2021 23:00,6.7
02.11.2021 00:00,6.1
02.11.2021 01:00,6.7
02.11.2021 02:00,6.5
02.11.2021 03:00,5.8
02.11.2021 04:00,5.6
02.11.2021 05:00,5.4
02.11.2021 06:00,5.0
02.11.2021 07:00,5.5
02.11.2021 08:00,6.2
02.11.2021 09:00,6.5
02.11.2021 10:00,6.8
02.11.2021 11:00,8.2
02.11.2021 12:00,9.4
02.11.2021 13:00,9.1
02.11.2021 14:00,8.0
02.11.2021 15:00,9.4
02.11.2021 16:00,8.9
02.11.2021 17:00,7.6
02.11.2021 18:00,6.5
02.11.2021 19:00,5.6
02.11.2021 20:00,5.1
02.11.2021 21:00,4.5
02.11.2021 22:00,4.2
02.11.2021 23:00,3.4
03.11.2021 00:00,2.7
03.11.2021 01:00,2.3
03.11.2021 02:00,2.7
03.11.2021 03:00,2.6
03.11.2021 04:00,2.8
03.11.2021 05:00,2.7
03.11.2021 06:00,2.7
03.11.2021 07:00,3.5
03.11.2021 08:00,3.6
03.11.2021 09:00,4.2
03.11.2021 10:00,5.3
03.11.2021 11:00,6.3
03.11.2021 12:00,6.8
03.11.2021 13:00,6.2
03.11.2021 14:00,6.1
03.11.2021 15:00,6.1
03.11.2021 16:00,6.1
03.11.2021 17:00,6.0
03.11.2021 18:00,5.7
03.11.2021 19:00,5.7
03.11.2021 20:00,5.7
03.11.2021 21:00,5.8
03.11.2021 22:00,5.7
03.11.2021 23:00,5.6
04.11.2021 00:00,5.4
04.11.2021 01:00,4.6
04.11.2021 02:00,4.4
04.11.2021 03:00,4.4
04.11.2021 04:00,4.5
04.11.2021 05:00,4.6
04.11.2021 06:00,4.3
04.11.2021 07:00,4.2
04.11.2021 08:00,4.6
04.11.2021 09:00,4.8
04.11.2021 10:00,5.0
04.11.2021 11:00,5.5
04.11.2021 12:00,6.0
04.11.2021 13:00,5.3
04.11.2021 14:00,5.0
04.11.2021 15:00,4.4
04.11.2021 16:00,4.3
04.11.2021 17:00,4.0
04.11.2021 18:00,4.3
04.11.2021 19:00,3.8
04.11.2021 20:00,2.8
04.11.2021 21:00,3.3
04.11.2021 22:00,3.4
04.11.2021 23:00,3.6
05.11.2021 00:00,3.8
05.11.2021 01:00,4.0
05.11.2021 02:00,4.0
05.11.2021 03:00,4.0
05.11.2021 04:00,4.1
