time,T_mean
16.10.2017 00:00,11.6
16.10.2017 01:00,11.2
16.10.2017 02:00,11.0
16.10.2017 03:00,10.0
16.10.2017 04:00,9.1
16.10.2017 05:00,10.0
16.10.2017 06:00,9.3
16.10.2017 07:00,13.2
16.10.2017 08:00,16.7
16.10.2017 09:00,17.8
16.10.2017 10:00,20.2
16.10.2017 11:00,21.1
16.10.2017 12:00,21.6
16.10.2017 13:00,23.8
16.10.2017 14:00,24.7
16.10.2017 15:00,22.6
16.10.2017 16:00,17.9
16.10.2017 17:00,15.9
16.10.2017 18:00,15.2
16.10.2017 19:00,14.2
16.10.2017 20:00,13.3
16.10.2017 21:00,12.1
16.10.2017 22:00,11.5
16.10.2017 23:00,10.6
17.10.2017 00:00,10.8
17.10.2017 01:00,9.5
17.10.2017 02:00,9.5
17.10.2017 03:00,9.5
17.10.2017 04:00,9.2
17.10.2017 05:00,9.1
17.10.2017 06:00,9.6
17.10.2017 07:00,12.5
17.10.2017 08:00,16.4
17.10.2017 09:00,17.7
17.10.2017 10:00,20.5
17.10.2017 11:00,21.9
17.10.2017 12:00,22.5
17.10.2017 13:00,21.1
17.10.2017 14:00,20.9
17.10.2017 15:00,20.1
17.10.2017 16:00,17.7
17.10.2017 17:00,15.1
17.10.2017 18:00,13.7
17.10.2017 19:00,13.6
17.10.2017 20:00,13.7
17.10.2017 21:00,13.3
17.10.2017 22:00,12.3
17.10.2017 23:00,11.6
18.10.2017 00:00,10.5
18.10.2017 01:00,10.7
18.10.2017 02:00,9.1
18.10.2017 03:00,8.0
18.10.2017 04:00,8.2
18.10.2017 05:00,8.2
18.10.2017 06:00,7.4
18.10.2017 07:00,11.5
18.10.2017 08:00,13.7
18.10.2017 09:00,16.4
18.10.2017 10:00,17.8
18.10.2017 11:00,18.5
18.10.2017 12:00,19.1
18.10.2017 13:00,20.1
18.10.2017 14:00,21.3
18.10.2017 15:00,20.1
18.10.2017 16:00,15.8
18.10.2017 17:00,14.0
18.10.2017 18:00,12.8
18.10.2017 19:00,11.8
18.10.2017 20:00,11.4
18.10.2017 21:00,10.4
18.10.2017 22:00,9.7
18.10.2017 23:00,9.2
19.10.2017 00:00,8.3
19.10.2017 01:00,8.5
19.10.2017 02:00,8.0
19.10.2017 03:00,8.4
19.10.2017 04:00,9.3
19.10.2017 05:00,8.9
19.10.2017 06:00,10.3
19.10.2017 07:00,11.5
19.10.2017 08:00,12.7
19.10.2017 09:00,13.3
19.10.2017 10:00,14.8
19.10.2017 11:00,16.9
19.10.2017 12:00,18.1
19.10.2017 13:00,18.7
19.10.2017 14:00,18.7
19.10.2017 15:00,18.1
19.10.2017 16:00,16.5
19.10.2017 17:00,14.6
19.10.2017 18:00,12.9
19.10.2017 19:00,11.7
19.10.2017 20:00,11.4
19.10.2017 21:00,11.0
19.10.2017 22:00,10.6
19.10.2017 23:00,10.0
20.10.2017 00:00,9.6
20.10.2017 01:00,9.6
20.10.2017 02:00,9.9
20.10.2017 03:00,9.7
20.10.2017 04:00,10.1
20.10.2017 05:00,10.6
20.10.2017 06:00,11.3
20.10.2017 07:00,13.6
20.10.2017 08:00,13.8
20.10.2017 09:00,17.3
20.10.2017 10:00,18.3
20.10.2017 11:00,18.8
20.10.2017 12:00,17.7
20.10.2017 13:00,17.1
20.10.2017 14:00,16.0
20.10.2017 15:00,15.1
20.10.2017 16:00,14.6
20.10.2017 17:00,13.8
