Unnamed: 0,time,T_max,T_min,T_mean,precip_tot
17112,2018-10-15 00:00:00,12.4,11.9,12.2,0.0
17113,2018-10-15 01:00:00,11.4,10.3,10.8,0.0
17114,2018-10-15 02:00:00,11.3,9.7,10.6,0.0
17115,2018-10-15 03:00:00,10.8,9.4,10.0,0.0
17116,2018-10-15 04:00:00,9.1,8.8,9.0,0.0
17117,2018-10-15 05:00:00,9.3,8.7,9.1,0.0
17118,2018-10-15 06:00:00,9.1,8.1,8.6,0.0
17119,2018-10-15 07:00:00,9.3,7.2,8.1,0.0
17120,2018-10-15 08:00:00,12.7,10.1,11.5,0.0
17121,2018-10-15 09:00:00,15.7,12.7,14.1,0.0
17122,2018-10-15 10:00:00,18.2,16.1,17.2,0.0
17123,2018-10-15 11:00:00,21.0,18.4,20.0,0.0
17124,2018-10-15 12:00:00,22.7,21.4,22.2,0.0
17125,2018-10-15 13:00:00,24.4,22.7,23.5,0.0
17126,2018-10-15 14:00:00,24.7,22.1,23.3,0.0
17127,2018-10-15 15:00:00,22.2,21.9,22.0,0.0
17128,2018-10-15 16:00:00,22.0,20.0,20.9,0.0
17129,2018-10-15 17:00:00,20.1,17.7,19.2,0.0
17130,2018-10-15 18:00:00,17.3,15.6,16.6,0.0
17131,2018-10-15 19:00:00,15.6,14.6,15.2,0.0
17132,2018-10-15 20:00:00,15.6,14.6,15.0,0.0
17133,2018-10-15 21:00:00,15.0,12.7,13.9,0.0
17134,2018-10-15 22:00:00,14.1,13.0,13.4,0.0
17135,2018-10-15 23:00:00,12.9,12.3,12.6,0.0
17136,2018-10-16 00:00:00,12.5,11.5,12.0,0.0
17137,2018-10-16 01:00:00,11.9,10.5,11.3,0.0
17138,2018-10-16 02:00:00,11.5,10.4,11.1,0.0
17139,2018-10-16 03:00:00,10.7,10.5,10.6,0.0
17140,2018-10-16 04:00:00,10.6,9.3,10.0,0.0
17141,2018-10-16 05:00:00,9.1,8.5,9.0,0.0
17142,2018-10-16 06:00:00,8.6,8.5,8.5,0.0
17143,2018-10-16 07:00:00,9.8,8.7,9.1,0.0
17144,2018-10-16 08:00:00,12.7,10.2,11.6,0.0
17145,2018-10-16 09:00:00,15.8,13.3,14.6,0.0
17146,2018-10-16 10:00:00,17.9,16.6,17.2,0.0
17147,2018-10-16 11:00:00,20.0,18.3,19.2,0.0
17148,2018-10-16 12:00:00,20.8,20.3,20.6,0.0
17149,2018-10-16 13:00:00,22.0,20.6,21.3,0.0
17150,2018-10-16 14:00:00,23.3,22.1,22.8,0.0
17151,2018-10-16 15:00:00,23.8,23.2,23.6,0.0
17152,2018-10-16 16:00:00,23.8,23.1,23.6,0.0
17153,2018-10-16 17:00:00,22.4,17.8,20.2,0.0
17154,2018-10-16 18:00:00,17.5,16.7,17.0,0.0
17155,2018-10-16 19:00:00,16.1,14.4,15.3,0.0
17156,2018-10-16 20:00:00,14.4,13.7,14.0,0.0
17157,2018-10-16 21:00:00,14.6,13.4,14.0,0.0
17158,2018-10-16 22:00:00,12.8,12.0,12.3,0.0
17159,2018-10-16 23:00:00,12.4,11.5,11.9,0.0
17160,2018-10-17 00:00:00,11.3,11.2,11.2,0.0
17161,2018-10-17 01:00:00,10.9,10.5,10.7,0.0
17162,2018-10-17 02:00:00,10.2,9.8,10.0,0.0
17163,2018-10-17 03:00:00,10.0,8.5,9.5,0.0
17164,2018-10-17 04:00:00,9.1,7.9,8.5,0.0
17165,2018-10-17 05:00:00,8.4,7.8,8.1,0.0
17166,2018-10-17 06:00:00,9.0,8.5,8.8,0.0
17167,2018-10-17 07:00:00,9.7,8.5,9.1,0.0
17168,2018-10-17 08:00:00,12.2,9.8,10.8,0.0
17169,2018-10-17 09:00:00,14.3,12.5,13.4,0.0
17170,2018-10-17 10:00:00,16.8,14.9,15.7,0.0
17171,2018-10-17 11:00:00,19.2,17.6,18.3,0.0
17172,2018-10-17 12:00:00,20.5,19.2,19.9,0.0
17173,2018-10-17 13:00:00,21.9,20.7,21.3,0.0
17174,2018-10-17 14:00:00,22.0,21.7,21.9,0.0
17175,2018-10-17 15:00:00,22.4,22.0,22.3,0.0
17176,2018-10-17 16:00:00,21.8,20.4,21.2,0.0
17177,2018-10-17 17:00:00,19.9,19.0,19.4,0.0
17178,2018-10-17 18:00:00,18.8,17.4,18.0,0.0
17179,2018-10-17 19:00:00,17.6,14.4,16.4,0.0
17180,2018-10-17 20:00:00,14.5,12.9,13.9,0.0
17181,2018-10-17 21:00:00,12.7,12.0,12.3,0.0
17182,2018-10-17 22:00:00,11.9,11.0,11.2,0.0
17183,2018-10-17 23:00:00,11.2,11.1,11.2,0.0
17184,2018-10-18 00:00:00,11.1,10.5,10.9,0.0
17185,2018-10-18 01:00:00,10.5,10.3,10.4,0.0
17186,2018-10-18 02:00:00,10.2,10.1,10.2,0.0
17187,2018-10-18 03:00:00,10.1,9.3,9.8,0.0
17188,2018-10-18 04:00:00,9.2,8.9,9.1,0.0
17189,2018-10-18 05:00:00,9.1,8.8,9.0,0.0
17190,2018-10-18 06:00:00,8.8,8.2,8.5,0.0
17191,2018-10-18 07:00:00,8.9,8.2,8.5,0.0
17192,2018-10-18 08:00:00,11.5,9.3,10.3,0.0
17193,2018-10-18 09:00:00,15.6,12.2,14.1,0.0
17194,2018-10-18 10:00:00,16.7,15.8,16.2,0.0
17195,2018-10-18 11:00:00,19.2,17.1,18.3,0.0
17196,2018-10-18 12:00:00,20.9,19.7,20.4,0.0
17197,2018-10-18 13:00:00,21.9,21.2,21.6,0.0
17198,2018-10-18 14:00:00,22.4,22.0,22.2,0.0
17199,2018-10-18 15:00:00,22.4,21.9,22.2,0.0
17200,2018-10-18 16:00:00,21.6,20.8,21.2,0.0
17201,2018-10-18 17:00:00,20.5,18.7,19.7,0.0
17202,2018-10-18 18:00:00,18.4,17.7,18.1,0.0
17203,2018-10-18 19:00:00,17.5,16.8,17.2,0.0
17204,2018-10-18 20:00:00,16.9,14.8,15.6,0.0
17205,2018-10-18 21:00:00,15.1,14.7,14.9,0.0
17206,2018-10-18 22:00:00,15.1,14.7,15.0,0.0
17207,2018-10-18 23:00:00,15.5,15.0,15.2,0.0
17208,2018-10-19 00:00:00,15.5,14.2,15.0,0.0
17209,2018-10-19 01:00:00,14.0,13.1,13.5,0.0
17210,2018-10-19 02:00:00,13.7,11.8,12.5,0.0
17211,2018-10-19 03:00:00,12.9,11.9,12.4,0.0
17212,2018-10-19 04:00:00,11.4,10.3,10.8,0.0
17213,2018-10-19 05:00:00,10.2,9.5,9.8,0.0
17214,2018-10-19 06:00:00,9.7,9.0,9.4,0.0
17215,2018-10-19 07:00:00,9.5,8.6,9.0,0.0
17216,2018-10-19 08:00:00,11.6,10.0,10.8,0.0
17217,2018-10-19 09:00:00,13.7,11.8,12.9,0.0
17218,2018-10-19 10:00:00,15.4,13.8,14.8,0.0
17219,2018-10-19 11:00:00,16.5,15.4,16.1,0.0
17220,2018-10-19 12:00:00,17.9,16.3,17.2,0.0
17221,2018-10-19 13:00:00,18.8,18.3,18.5,0.0
17222,2018-10-19 14:00:00,19.5,18.9,19.2,0.0
17223,2018-10-19 15:00:00,19.6,19.1,19.4,0.0
17224,2018-10-19 16:00:00,19.2,18.4,18.8,0.0
17225,2018-10-19 17:00:00,17.9,15.4,16.6,0.0
17226,2018-10-19 18:00:00,15.2,14.0,14.5,0.0
17227,2018-10-19 19:00:00,13.6,13.2,13.4,0.0
17228,2018-10-19 20:00:00,12.7,11.4,12.2,0.0
17229,2018-10-19 21:00:00,11.5,10.6,11.2,0.0
17230,2018-10-19 22:00:00,10.8,10.6,10.7,0.0
17231,2018-10-19 23:00:00,10.5,10.1,10.3,0.0
17232,2018-10-20 00:00:00,10.0,9.5,9.9,0.0
17233,2018-10-20 01:00:00,9.9,9.1,9.5,0.0
17234,2018-10-20 02:00:00,9.3,7.8,8.5,0.0
17235,2018-10-20 03:00:00,9.6,8.6,9.1,0.0
17236,2018-10-20 04:00:00,10.1,9.6,9.9,0.0
17237,2018-10-20 05:00:00,10.6,10.2,10.4,0.0
17238,2018-10-20 06:00:00,11.0,10.6,10.7,0.0
17239,2018-10-20 07:00:00,12.1,11.1,11.5,0.0
17240,2018-10-20 08:00:00,13.3,12.6,13.0,0.0
17241,2018-10-20 09:00:00,14.2,13.4,13.8,0.0
17242,2018-10-20 10:00:00,14.8,14.2,14.5,0.0
17243,2018-10-20 11:00:00,17.3,15.2,16.1,0.0
17244,2018-10-20 12:00:00,18.6,17.4,18.0,0.0
17245,2018-10-20 13:00:00,19.9,18.6,19.2,0.0
17246,2018-10-20 14:00:00,20.2,19.8,20.0,0.0
17247,2018-10-20 15:00:00,20.1,19.7,20.0,0.0
17248,2018-10-20 16:00:00,19.6,18.1,19.0,0.0
17249,2018-10-20 17:00:00,17.7,16.4,17.0,0.0
