,time,T_max,T_min,T_mean,precip_tot
0,2016-11-01 00:00:00,9.2,8.9,9.1,0.0
1,2016-11-01 01:00:00,8.9,8.7,8.8,0.0
2,2016-11-01 02:00:00,9.0,8.7,8.9,0.0
3,2016-11-01 03:00:00,9.0,8.9,9.0,0.0
4,2016-11-01 04:00:00,9.0,9.0,9.0,0.0
5,2016-11-01 05:00:00,9.2,9.1,9.2,0.0
6,2016-11-01 06:00:00,9.3,9.2,9.2,0.0
7,2016-11-01 07:00:00,9.6,9.3,9.4,0.0
8,2016-11-01 08:00:00,9.9,9.6,9.8,0.0
9,2016-11-01 09:00:00,10.1,10.0,10.0,0.0
10,2016-11-01 10:00:00,10.5,10.1,10.3,0.0
11,2016-11-01 11:00:00,11.1,10.4,10.7,0.0
12,2016-11-01 12:00:00,11.5,11.1,11.3,0.0
13,2016-11-01 13:00:00,12.2,11.8,12.0,0.0
14,2016-11-01 14:00:00,12.2,11.9,12.1,0.0
15,2016-11-01 15:00:00,12.3,11.9,12.1,0.0
16,2016-11-01 16:00:00,11.7,10.6,11.3,0.0
17,2016-11-01 17:00:00,10.2,9.6,9.8,0.0
18,2016-11-01 18:00:00,9.5,9.3,9.4,0.0
19,2016-11-01 19:00:00,9.1,8.7,8.9,0.0
20,2016-11-01 20:00:00,8.6,8.3,8.5,0.0
21,2016-11-01 21:00:00,8.4,7.5,8.0,0.0
22,2016-11-01 22:00:00,7.4,7.0,7.3,0.0
23,2016-11-01 23:00:00,7.2,6.7,7.0,0.0
24,2016-11-02 00:00:00,7.3,6.9,7.1,0.0
25,2016-11-02 01:00:00,7.5,6.8,7.1,0.0
26,2016-11-02 02:00:00,8.2,7.5,8.0,0.0
27,2016-11-02 03:00:00,7.8,7.4,7.6,0.0
28,2016-11-02 04:00:00,7.7,7.5,7.6,0.0
29,2016-11-02 05:00:00,7.8,7.6,7.7,0.0
30,2016-11-02 06:00:00,8.0,7.0,7.4,0.0
31,2016-11-02 07:00:00,9.6,7.5,8.4,0.0
32,2016-11-02 08:00:00,11.8,10.0,10.6,0.0
33,2016-11-02 09:00:00,13.9,12.6,13.0,0.0
34,2016-11-02 10:00:00,15.5,14.4,14.9,0.0
35,2016-11-02 11:00:00,17.1,15.5,16.2,0.0
36,2016-11-02 12:00:00,17.9,17.3,17.7,0.0
37,2016-11-02 13:00:00,17.8,16.9,17.4,0.0
38,2016-11-02 14:00:00,16.8,16.2,16.5,0.0
39,2016-11-02 15:00:00,16.7,15.0,15.9,0.0
40,2016-11-02 16:00:00,14.6,13.7,14.2,0.0
41,2016-11-02 17:00:00,13.6,13.3,13.5,0.0
42,2016-11-02 18:00:00,13.6,13.0,13.3,0.0
43,2016-11-02 19:00:00,12.8,12.2,12.5,0.0
44,2016-11-02 20:00:00,12.0,11.0,11.4,0.0
45,2016-11-02 21:00:00,11.0,10.9,11.0,0.0
46,2016-11-02 22:00:00,10.9,10.7,10.8,0.0
47,2016-11-02 23:00:00,10.7,10.4,10.6,0.0
48,2016-11-03 00:00:00,10.3,9.9,10.1,0.0
49,2016-11-03 01:00:00,9.9,9.7,9.8,0.0
50,2016-11-03 02:00:00,9.7,9.4,9.5,0.0
51,2016-11-03 03:00:00,9.4,9.2,9.3,0.0
52,2016-11-03 04:00:00,9.3,9.2,9.3,0.0
53,2016-11-03 05:00:00,9.2,9.0,9.1,0.0
54,2016-11-03 06:00:00,9.1,8.9,9.0,0.0
55,2016-11-03 07:00:00,9.1,8.9,9.0,0.0
56,2016-11-03 08:00:00,10.0,8.8,9.3,0.0
57,2016-11-03 09:00:00,11.1,10.2,10.7,0.0
58,2016-11-03 10:00:00,12.2,11.3,11.8,0.0
59,2016-11-03 11:00:00,12.7,12.2,12.5,0.0
60,2016-11-03 12:00:00,13.5,12.8,13.2,0.0
61,2016-11-03 13:00:00,13.7,13.5,13.6,0.0
62,2016-11-03 14:00:00,13.5,12.9,13.2,0.0
63,2016-11-03 15:00:00,13.1,12.3,12.8,0.0
64,2016-11-03 16:00:00,12.1,10.5,11.3,0.0
65,2016-11-03 17:00:00,10.3,9.6,10.0,0.0
66,2016-11-03 18:00:00,9.7,8.3,8.9,0.0
67,2016-11-03 19:00:00,8.2,7.8,8.0,0.0
68,2016-11-03 20:00:00,8.0,7.6,7.8,0.0
69,2016-11-03 21:00:00,7.7,5.5,6.4,0.0
70,2016-11-03 22:00:00,5.3,4.5,4.9,0.0
71,2016-11-03 23:00:00,4.5,3.8,4.2,0.0
72,2016-11-04 00:00:00,4.5,3.7,4.2,0.0
73,2016-11-04 01:00:00,4.4,3.6,3.9,0.0
74,2016-11-04 02:00:00,3.6,3.6,3.6,0.0
75,2016-11-04 03:00:00,3.6,3.1,3.4,0.0
76,2016-11-04 04:00:00,3.3,3.1,3.2,0.0
77,2016-11-04 05:00:00,3.0,2.6,2.8,0.0
78,2016-11-04 06:00:00,2.8,2.5,2.7,0.0
79,2016-11-04 07:00:00,3.4,2.7,2.9,0.0
80,2016-11-04 08:00:00,5.1,3.7,4.4,0.0
81,2016-11-04 09:00:00,7.4,5.4,6.1,0.0
82,2016-11-04 10:00:00,9.7,7.9,8.8,0.0
83,2016-11-04 11:00:00,11.0,9.7,10.3,0.0
84,2016-11-04 12:00:00,12.4,11.3,11.9,0.0
85,2016-11-04 13:00:00,12.3,12.2,12.3,0.0
86,2016-11-04 14:00:00,12.8,12.4,12.7,0.0
87,2016-11-04 15:00:00,12.8,12.5,12.7,0.0
88,2016-11-04 16:00:00,12.2,11.1,11.5,0.0
89,2016-11-04 17:00:00,10.9,10.0,10.2,0.0
90,2016-11-04 18:00:00,11.3,10.1,10.6,0.0
91,2016-11-04 19:00:00,10.7,10.2,10.3,0.0
92,2016-11-04 20:00:00,10.4,10.0,10.2,0.0
93,2016-11-04 21:00:00,10.7,9.9,10.2,0.0
94,2016-11-04 22:00:00,11.6,10.2,10.9,0.0
95,2016-11-04 23:00:00,12.7,12.1,12.5,0.2
96,2016-11-05 00:00:00,13.6,12.8,13.2,0.0
97,2016-11-05 01:00:00,13.6,13.4,13.5,0.1
98,2016-11-05 02:00:00,13.4,13.4,13.4,0.0
99,2016-11-05 03:00:00,13.3,12.9,13.1,0.1
100,2016-11-05 04:00:00,12.9,12.8,12.9,0.1
101,2016-11-05 05:00:00,12.6,11.8,12.1,0.1
102,2016-11-05 06:00:00,11.7,11.5,11.6,0.3
103,2016-11-05 07:00:00,11.6,11.3,11.5,0.3
104,2016-11-05 08:00:00,11.4,11.3,11.4,0.7
105,2016-11-05 09:00:00,11.8,11.4,11.7,0.0
106,2016-11-05 10:00:00,12.1,11.8,12.0,0.1
107,2016-11-05 11:00:00,12.7,12.2,12.4,0.0
108,2016-11-05 12:00:00,13.1,12.7,13.0,0.0
109,2016-11-05 13:00:00,13.4,13.2,13.3,0.0
110,2016-11-05 14:00:00,13.7,13.3,13.5,3.9
111,2016-11-05 15:00:00,13.5,13.2,13.4,4.9
112,2016-11-05 16:00:00,13.4,13.0,13.2,2.6
113,2016-11-05 17:00:00,12.8,12.4,12.6,7.9
114,2016-11-05 18:00:00,12.3,12.0,12.2,3.8
115,2016-11-05 19:00:00,11.9,11.4,11.6,4.4
116,2016-11-05 20:00:00,11.4,11.2,11.3,1.8
117,2016-11-05 21:00:00,11.2,11.0,11.1,3.1
118,2016-11-05 22:00:00,11.0,10.6,10.9,0.9
119,2016-11-05 23:00:00,10.4,9.5,10.0,1.1
120,2016-11-06 00:00:00,9.5,8.5,9.1,0.6
121,2016-11-06 01:00:00,8.3,8.0,8.1,0.3
122,2016-11-06 02:00:00,8.0,7.8,7.9,0.0
123,2016-11-06 03:00:00,7.9,7.7,7.8,0.0
124,2016-11-06 04:00:00,7.9,7.5,7.7,0.0
125,2016-11-06 05:00:00,7.7,7.4,7.6,0.0
126,2016-11-06 06:00:00,7.3,7.0,7.2,0.3
127,2016-11-06 07:00:00,7.0,5.9,6.4,0.3
128,2016-11-06 08:00:00,6.1,5.9,6.0,0.3
129,2016-11-06 09:00:00,6.8,6.2,6.5,0.0
130,2016-11-06 10:00:00,7.6,6.8,7.2,0.0
131,2016-11-06 11:00:00,7.6,7.5,7.5,0.0
132,2016-11-06 12:00:00,8.7,7.7,8.4,0.0
133,2016-11-06 13:00:00,9.1,7.8,8.5,0.2
134,2016-11-06 14:00:00,9.3,8.2,8.8,0.0
135,2016-11-06 15:00:00,9.8,7.8,8.8,0.2
136,2016-11-06 16:00:00,7.5,7.0,7.1,0.6
137,2016-11-06 17:00:00,7.0,6.8,6.9,0.1
138,2016-11-06 18:00:00,7.0,6.8,6.9,0.0
139,2016-11-06 19:00:00,6.9,6.6,6.8,0.0
140,2016-11-06 20:00:00,6.6,6.5,6.5,0.0
141,2016-11-06 21:00:00,6.7,6.1,6.6,0.9
142,2016-11-06 22:00:00,6.2,5.6,6.0,0.1
143,2016-11-06 23:00:00,6.1,5.7,5.9,0.1
144,2016-11-07 00:00:00,6.3,5.1,5.6,0.4
145,2016-11-07 01:00:00,5.4,5.2,5.3,0.2
146,2016-11-07 02:00:00,5.5,5.4,5.4,0.4
147,2016-11-07 03:00:00,5.9,5.6,5.8,0.0
148,2016-11-07 04:00:00,5.9,5.5,5.7,0.0
149,2016-11-07 05:00:00,5.9,5.0,5.4,0.0
150,2016-11-07 06:00:00,5.7,5.0,5.3,0.0
151,2016-11-07 07:00:00,5.4,5.0,5.2,0.1
152,2016-11-07 08:00:00,5.9,5.5,5.7,0.2
153,2016-11-07 09:00:00,6.3,5.4,5.8,0.6
154,2016-11-07 10:00:00,6.9,6.4,6.7,0.1
155,2016-11-07 11:00:00,7.8,5.1,6.5,0.1
156,2016-11-07 12:00:00,8.1,7.2,7.7,0.0
157,2016-11-07 13:00:00,8.1,4.0,6.4,1.2
158,2016-11-07 14:00:00,4.4,3.8,4.2,0.2
159,2016-11-07 15:00:00,5.0,4.4,4.7,0.0
160,2016-11-07 16:00:00,4.7,3.8,4.1,0.0
161,2016-11-07 17:00:00,3.6,3.5,3.5,0.0
162,2016-11-07 18:00:00,3.7,3.6,3.7,0.0
163,2016-11-07 19:00:00,3.5,2.3,2.8,0.0
164,2016-11-07 20:00:00,2.5,1.5,2.1,0.0
165,2016-11-07 21:00:00,1.4,1.1,1.3,0.0
166,2016-11-07 22:00:00,1.1,0.9,1.0,0.0
167,2016-11-07 23:00:00,1.0,0.4,0.8,0.0
168,2016-11-08 00:00:00,0.2,0.0,0.1,0.0
169,2016-11-08 01:00:00,0.3,0.0,0.2,0.0
170,2016-11-08 02:00:00,0.0,-0.3,-0.2,0.0
171,2016-11-08 03:00:00,0.0,-0.4,-0.3,0.0
172,2016-11-08 04:00:00,-0.1,-0.3,-0.2,0.0
173,2016-11-08 05:00:00,-0.3,-0.7,-0.5,0.0
174,2016-11-08 06:00:00,0.0,-0.8,-0.4,0.0
175,2016-11-08 07:00:00,0.6,0.1,0.4,0.0
176,2016-11-08 08:00:00,1.1,0.8,0.9,0.1
177,2016-11-08 09:00:00,1.6,1.3,1.5,0.0
178,2016-11-08 10:00:00,2.1,1.7,1.9,0.0
179,2016-11-08 11:00:00,2.6,2.2,2.4,0.0
180,2016-11-08 12:00:00,3.2,2.7,2.9,0.1
181,2016-11-08 13:00:00,3.5,3.2,3.4,0.4
182,2016-11-08 14:00:00,3.5,3.2,3.3,0.9
183,2016-11-08 15:00:00,4.4,3.6,4.0,0.0
184,2016-11-08 16:00:00,4.6,4.0,4.2,0.0
185,2016-11-08 17:00:00,4.1,3.6,3.9,0.0
186,2016-11-08 18:00:00,4.0,3.5,3.8,0.0
187,2016-11-08 19:00:00,4.1,3.6,3.8,0.0
188,2016-11-08 20:00:00,4.3,3.8,4.0,0.0
189,2016-11-08 21:00:00,4.3,3.3,3.6,0.0
190,2016-11-08 22:00:00,3.4,2.5,2.9,0.0
191,2016-11-08 23:00:00,2.9,2.5,2.7,0.0
192,2016-11-09 00:00:00,2.5,2.0,2.2,0.0
193,2016-11-09 01:00:00,3.0,2.4,2.8,0.0
194,2016-11-09 02:00:00,3.1,2.9,3.1,0.0
195,2016-11-09 03:00:00,2.9,2.4,2.7,0.0
196,2016-11-09 04:00:00,2.7,2.2,2.4,0.0
197,2016-11-09 05:00:00,2.2,2.0,2.1,0.0
198,2016-11-09 06:00:00,2.2,2.1,2.1,0.0
199,2016-11-09 07:00:00,2.7,2.2,2.5,0.0
200,2016-11-09 08:00:00,3.2,2.9,3.1,0.0
201,2016-11-09 09:00:00,5.1,3.3,4.1,0.0
202,2016-11-09 10:00:00,5.2,4.7,4.9,0.0
203,2016-11-09 11:00:00,5.1,4.9,5.0,0.0
204,2016-11-09 12:00:00,5.0,4.7,4.8,0.2
205,2016-11-09 13:00:00,4.8,4.6,4.7,0.2
206,2016-11-09 14:00:00,4.8,4.4,4.5,0.8
207,2016-11-09 15:00:00,5.6,4.2,4.7,0.9
208,2016-11-09 16:00:00,6.5,6.0,6.3,1.1
209,2016-11-09 17:00:00,7.3,6.6,7.0,0.4
210,2016-11-09 18:00:00,7.6,7.3,7.4,0.2
211,2016-11-09 19:00:00,7.6,7.3,7.4,0.6
212,2016-11-09 20:00:00,7.6,7.3,7.4,0.1
213,2016-11-09 21:00:00,8.0,7.6,7.8,0.3
214,2016-11-09 22:00:00,7.8,7.4,7.6,0.3
215,2016-11-09 23:00:00,7.7,7.3,7.5,0.2
216,2016-11-10 00:00:00,7.8,7.2,7.4,0.0
217,2016-11-10 01:00:00,7.7,7.4,7.5,0.0
218,2016-11-10 02:00:00,7.4,7.3,7.4,0.2
219,2016-11-10 03:00:00,7.3,7.0,7.1,0.4
220,2016-11-10 04:00:00,6.9,6.6,6.7,1.2
221,2016-11-10 05:00:00,7.0,6.5,6.7,0.9
222,2016-11-10 06:00:00,7.6,7.1,7.3,0.0
223,2016-11-10 07:00:00,7.7,7.5,7.6,1.1
224,2016-11-10 08:00:00,8.2,7.7,8.0,0.3
225,2016-11-10 09:00:00,8.6,8.2,8.4,0.2
226,2016-11-10 10:00:00,8.6,8.4,8.5,0.1
227,2016-11-10 11:00:00,8.7,8.5,8.6,0.0
228,2016-11-10 12:00:00,8.5,8.1,8.3,0.2
229,2016-11-10 13:00:00,8.4,8.3,8.4,0.1
230,2016-11-10 14:00:00,8.3,7.9,8.1,0.5
231,2016-11-10 15:00:00,8.2,8.1,8.2,0.1
232,2016-11-10 16:00:00,8.3,8.2,8.2,0.0
233,2016-11-10 17:00:00,8.3,8.2,8.2,0.4
234,2016-11-10 18:00:00,8.2,8.1,8.2,0.2
235,2016-11-10 19:00:00,8.1,8.0,8.0,0.1
236,2016-11-10 20:00:00,8.1,8.0,8.1,0.0
237,2016-11-10 21:00:00,8.2,8.1,8.2,0.0
238,2016-11-10 22:00:00,8.5,8.3,8.4,0.0
239,2016-11-10 23:00:00,8.9,8.4,8.7,0.0
240,2016-11-11 00:00:00,8.7,8.6,8.6,1.4
241,2016-11-11 01:00:00,8.7,8.5,8.6,2.5
242,2016-11-11 02:00:00,8.7,8.0,8.4,4.2
243,2016-11-11 03:00:00,8.5,8.1,8.4,0.8
244,2016-11-11 04:00:00,8.1,7.8,7.9,0.5
245,2016-11-11 05:00:00,8.0,7.3,7.6,0.6
246,2016-11-11 06:00:00,7.5,6.0,6.8,3.7
247,2016-11-11 07:00:00,5.9,5.6,5.7,0.5
248,2016-11-11 08:00:00,6.4,6.0,6.3,0.4
249,2016-11-11 09:00:00,7.2,6.1,6.5,0.4
250,2016-11-11 10:00:00,7.7,7.1,7.4,0.3
251,2016-11-11 11:00:00,7.7,7.1,7.3,0.9
252,2016-11-11 12:00:00,8.1,7.2,7.7,0.1
253,2016-11-11 13:00:00,8.1,7.1,7.5,0.1
254,2016-11-11 14:00:00,7.5,7.3,7.4,0.3
255,2016-11-11 15:00:00,7.2,7.0,7.1,0.0
256,2016-11-11 16:00:00,7.0,6.9,6.9,0.1
257,2016-11-11 17:00:00,6.8,6.6,6.7,0.0
258,2016-11-11 18:00:00,6.9,6.8,6.8,0.0
259,2016-11-11 19:00:00,6.8,6.8,6.8,0.0
260,2016-11-11 20:00:00,6.6,6.3,6.5,0.0
261,2016-11-11 21:00:00,6.4,6.2,6.3,0.0
262,2016-11-11 22:00:00,6.2,5.9,6.1,0.0
263,2016-11-11 23:00:00,5.9,5.7,5.8,0.0
264,2016-11-12 00:00:00,5.7,5.0,5.4,0.0
265,2016-11-12 01:00:00,5.5,5.1,5.3,0.0
266,2016-11-12 02:00:00,5.6,5.5,5.5,0.0
267,2016-11-12 03:00:00,5.6,5.3,5.5,0.0
268,2016-11-12 04:00:00,5.3,5.2,5.3,0.0
269,2016-11-12 05:00:00,5.4,5.2,5.3,0.0
270,2016-11-12 06:00:00,5.2,5.0,5.1,0.0
271,2016-11-12 07:00:00,5.1,5.0,5.0,0.0
272,2016-11-12 08:00:00,6.6,5.2,5.9,0.0
273,2016-11-12 09:00:00,7.6,6.5,7.0,0.0
274,2016-11-12 10:00:00,7.6,6.9,7.1,0.0
275,2016-11-12 11:00:00,7.8,7.3,7.5,0.0
276,2016-11-12 12:00:00,8.5,7.9,8.2,0.0
277,2016-11-12 13:00:00,8.5,8.1,8.2,0.0
278,2016-11-12 14:00:00,9.2,8.6,8.9,0.0
279,2016-11-12 15:00:00,9.2,8.0,8.7,0.0
280,2016-11-12 16:00:00,7.7,6.3,7.0,0.0
281,2016-11-12 17:00:00,6.1,4.5,5.1,0.0
282,2016-11-12 18:00:00,4.3,4.2,4.2,0.0
283,2016-11-12 19:00:00,4.2,4.0,4.1,0.0
284,2016-11-12 20:00:00,3.6,3.4,3.5,0.0
285,2016-11-12 21:00:00,3.4,3.1,3.2,0.0
286,2016-11-12 22:00:00,3.3,3.1,3.2,0.0
287,2016-11-12 23:00:00,3.3,3.3,3.3,0.0
288,2016-11-13 00:00:00,3.3,3.2,3.3,0.0
289,2016-11-13 01:00:00,3.4,3.3,3.4,0.0
290,2016-11-13 02:00:00,3.6,3.4,3.5,0.0
291,2016-11-13 03:00:00,3.7,3.6,3.6,0.0
292,2016-11-13 04:00:00,4.0,3.8,3.9,0.0
293,2016-11-13 05:00:00,4.0,3.7,3.8,0.0
294,2016-11-13 06:00:00,3.7,3.6,3.6,0.0
295,2016-11-13 07:00:00,4.0,3.6,3.8,0.0
296,2016-11-13 08:00:00,4.8,4.1,4.5,0.0
297,2016-11-13 09:00:00,6.3,4.9,5.6,0.0
298,2016-11-13 10:00:00,7.3,6.4,6.9,0.0
299,2016-11-13 11:00:00,8.1,7.4,7.7,0.0
300,2016-11-13 12:00:00,8.4,8.3,8.3,0.0
301,2016-11-13 13:00:00,8.5,8.2,8.4,0.0
302,2016-11-13 14:00:00,8.1,7.1,7.5,0.5
303,2016-11-13 15:00:00,7.0,6.4,6.8,1.0
304,2016-11-13 16:00:00,6.2,6.0,6.1,0.5
305,2016-11-13 17:00:00,6.0,5.6,5.8,0.4
306,2016-11-13 18:00:00,5.5,5.3,5.4,0.2
307,2016-11-13 19:00:00,5.3,5.2,5.2,0.2
308,2016-11-13 20:00:00,5.4,5.2,5.3,0.3
309,2016-11-13 21:00:00,5.2,5.1,5.2,0.2
310,2016-11-13 22:00:00,5.3,5.1,5.2,0.2
311,2016-11-13 23:00:00,5.5,5.3,5.5,0.2
