time,T_mean
2022-05-10 00:00:00,13.2
2022-05-10 01:00:00,11.9
2022-05-10 02:00:00,11.8
2022-05-10 03:00:00,11.5
2022-05-10 04:00:00,10.6
2022-05-10 05:00:00,10.9
2022-05-10 06:00:00,12.8
2022-05-10 07:00:00,14.5
2022-05-10 08:00:00,15.5
2022-05-10 09:00:00,17.1
2022-05-10 10:00:00,19.0
2022-05-10 11:00:00,21.1
2022-05-10 12:00:00,21.9
2022-05-10 13:00:00,23.0
2022-05-10 14:00:00,23.6
2022-05-10 15:00:00,24.4
2022-05-10 16:00:00,23.9
2022-05-10 17:00:00,23.6
2022-05-10 18:00:00,22.4
2022-05-10 19:00:00,19.7
2022-05-10 20:00:00,17.8
2022-05-10 21:00:00,16.9
2022-05-10 22:00:00,16.4
2022-05-10 23:00:00,16.0
2022-05-11 00:00:00,15.7
2022-05-11 01:00:00,14.8
2022-05-11 02:00:00,14.6
2022-05-11 03:00:00,14.1
2022-05-11 04:00:00,13.2
2022-05-11 05:00:00,13.2
2022-05-11 06:00:00,14.6
2022-05-11 07:00:00,16.0
2022-05-11 08:00:00,18.9
2022-05-11 09:00:00,20.2
2022-05-11 10:00:00,22.1
2022-05-11 11:00:00,24.5
2022-05-11 12:00:00,25.8
2022-05-11 13:00:00,26.7
2022-05-11 14:00:00,27.2
2022-05-11 15:00:00,27.5
2022-05-11 16:00:00,27.6
2022-05-11 17:00:00,27.2
2022-05-11 18:00:00,26.1
2022-05-11 19:00:00,23.7
2022-05-11 20:00:00,21.7
2022-05-11 21:00:00,21.5
2022-05-11 22:00:00,20.6
2022-05-11 23:00:00,20.3
2022-05-12 00:00:00,20.4
2022-05-12 01:00:00,20.2
2022-05-12 02:00:00,20.2
2022-05-12 03:00:00,19.9
2022-05-12 04:00:00,19.2
2022-05-12 05:00:00,18.7
2022-05-12 06:00:00,18.9
2022-05-12 07:00:00,19.2
2022-05-12 08:00:00,21.4
2022-05-12 09:00:00,22.4
2022-05-12 10:00:00,23.3
2022-05-12 11:00:00,24.3
2022-05-12 12:00:00,25.1
2022-05-12 13:00:00,25.9
2022-05-12 14:00:00,25.8
2022-05-12 15:00:00,26.4
2022-05-12 16:00:00,26.7
2022-05-12 17:00:00,25.9
2022-05-12 18:00:00,23.8
2022-05-12 19:00:00,21.9
2022-05-12 20:00:00,20.9
2022-05-12 21:00:00,20.2
2022-05-12 22:00:00,20.1
2022-05-12 23:00:00,19.7
2022-05-13 00:00:00,19.1
2022-05-13 01:00:00,17.4
2022-05-13 02:00:00,17.0
2022-05-13 03:00:00,16.3
2022-05-13 04:00:00,16.0
2022-05-13 05:00:00,15.5
2022-05-13 06:00:00,16.4
2022-05-13 07:00:00,16.8
2022-05-13 08:00:00,17.1
2022-05-13 09:00:00,17.3
2022-05-13 10:00:00,17.1
2022-05-13 11:00:00,17.5
2022-05-13 12:00:00,18.1
2022-05-13 13:00:00,18.7
2022-05-13 14:00:00,19.3
2022-05-13 15:00:00,20.5
2022-05-13 16:00:00,20.9
2022-05-13 17:00:00,21.0
2022-05-13 18:00:00,20.4
2022-05-13 19:00:00,19.2
2022-05-13 20:00:00,18.6
2022-05-13 21:00:00,17.6
2022-05-13 22:00:00,16.1
2022-05-13 23:00:00,15.1
2022-05-14 00:00:00,14.8
2022-05-14 01:00:00,14.5
2022-05-14 02:00:00,13.9
2022-05-14 03:00:00,13.5
