date,LAI_value,Weather,Canopy_photo,In_lane,Shaded,BBCH,Row spacing,Point_ID,dateonly,time,geometry
2022-04-11 07:00:15+00:00,0.498,clear sky,JPEG_20220411_070025_6877410458306335427.jpg,No,None,25,13.0,1,2022-04-11,07:00:15.000000Z,POINT (476518.5 5254879.5)
2022-04-13 08:25:30+00:00,0.772,hazy,JPEG_20220413_082539_4253573116883452677.jpg,No,By person,25,13.0,1,2022-04-13,08:25:30.000000Z,POINT (476518.5 5254879.5)
2022-04-15 07:09:45+00:00,0.744,overcast,JPEG_20220415_070952_4759901107175021664.jpg,No,By clouds,25,13.0,1,2022-04-15,07:09:45.000000Z,POINT (476518.5 5254879.5)
2022-04-18 09:08:48+00:00,0.897,clear sky,JPEG_20220418_090851_483163800049036778.jpg,No,By person,25,13.0,1,2022-04-18,09:08:48.000000Z,POINT (476518.5 5254879.5)
2022-04-20 08:38:47+00:00,1.42,clear sky,JPEG_20220420_083849_999031273568982138.jpg,No,By person,25,13.0,1,2022-04-20,08:38:47.000000Z,POINT (476518.5 5254879.5)
2022-04-22 08:38:49+00:00,1.56,hazy,JPEG_20220422_083912_2784409770954511510.jpg,No,By person,30,13.0,1,2022-04-22,08:38:49.000000Z,POINT (476518.5 5254879.5)
2022-04-25 12:00:52+00:00,1.59,overcast,JPEG_20220425_120057_3682418897252854522.jpg,No,By clouds,31,15.0,1,2022-04-25,12:00:52.000000Z,POINT (476518.5 5254879.5)
2022-04-27 07:39:36+00:00,1.32,hazy,JPEG_20220427_073951_2214620258091673602.jpg,No,By person,31,13.0,1,2022-04-27,07:39:36.000000Z,POINT (476518.5 5254879.5)
2022-04-29 09:16:29+00:00,1.93,cloudy,JPEG_20220429_091637_754490648013455782.jpg,No,By person,32,15.0,1,2022-04-29,09:16:29.000000Z,POINT (476518.5 5254879.5)
2022-05-02 07:24:44+00:00,2.4,clear sky,JPEG_20220502_072446_5047750044220017042.jpg,No,By person,32,13.0,1,2022-05-02,07:24:44.000000Z,POINT (476518.5 5254879.5)
2022-05-04 07:43:26+00:00,2.89,overcast,JPEG_20220504_074331_2284629835587746768.jpg,No,By clouds,32,15.0,1,2022-05-04,07:43:26.000000Z,POINT (476518.5 5254879.5)
2022-05-07 12:39:15+00:00,3.24,Overcast,/storage/emulated/0/Android/data/uk.co.lutraconsulting/files/projects/LAI_Eschikon_ETH_2022_06_05/JPEG_20220507_123702_8689465730396613994.jpg,No,None,33,15.0,1,2022-05-07,12:39:15.000000Z,POINT (476518.5 5254879.5)
2022-05-09 08:34:19+00:00,3.47,Overcast,/storage/emulated/0/Android/data/uk.co.lutraconsulting/files/projects/LAI_Eschikon_ETH_2022_06_05/JPEG_20220509_083421_4713333511619168132.jpg,No,By clouds,33,15.0,1,2022-05-09,08:34:19.000000Z,POINT (476518.5 5254879.5)
2022-05-11 08:55:59+00:00,3.88,Clear sky,/storage/emulated/0/Android/data/uk.co.lutraconsulting/files/projects/LAI_Eschikon_ETH_2022_06_05/JPEG_20220511_085526_5785813378579282273.jpg,No,By person,33,15.0,1,2022-05-11,08:55:59.000000Z,POINT (476518.5 5254879.5)
2022-05-13 09:18:15+00:00,3.97,Overcast,/storage/emulated/0/Android/data/uk.co.lutraconsulting/files/projects/LAI_Eschikon_ETH_2022_06_05/JPEG_20220513_091819_3781330323842179954.jpg,No,By clouds,33,15.0,1,2022-05-13,09:18:15.000000Z,POINT (476518.5 5254879.5)
2022-05-16 09:00:08+00:00,4.55,Cloudy,/storage/emulated/0/Android/data/uk.co.lutraconsulting/files/projects/LAI_Eschikon_ETH_2022_06_05/JPEG_20220516_090016_8258328492807683150.jpg,No,By person,37,15.0,1,2022-05-16,09:00:08.000000Z,POINT (476518.5 5254879.5)
2022-05-18 08:58:29+00:00,4.58,Clear sky,/storage/emulated/0/Android/data/uk.co.lutraconsulting/files/projects/LAI_Eschikon_ETH_2022_06_05/JPEG_20220518_085833_6034243061671757096.jpg,No,By person,37,15.0,1,2022-05-18,08:58:29.000000Z,POINT (476518.5 5254879.5)
2022-05-20 09:28:20+00:00,4.6,Clear sky,/storage/emulated/0/Android/data/uk.co.lutraconsulting/files/projects/LAI_Eschikon_ETH_2022_06_05/JPEG_20220520_092824_1279296343044173549.jpg,No,By person,39,15.0,1,2022-05-20,09:28:20.000000Z,POINT (476518.5 5254879.5)
2022-05-23 07:35:59+00:00,5.27,Overcast,/storage/emulated/0/Android/data/uk.co.lutraconsulting/files/projects/LAI_Eschikon_ETH_2022_06_05/JPEG_20220523_073605_7815760999858258093.jpg,No,By clouds,41,15.0,1,2022-05-23,07:35:59.000000Z,POINT (476518.5 5254879.5)
2022-05-25 08:46:19+00:00,5.43,Overcast,/storage/emulated/0/Android/data/uk.co.lutraconsulting/files/projects/LAI_Eschikon_ETH_2022_06_05/JPEG_20220525_084634_373434703407283378.jpg,No,By clouds,49,15.0,1,2022-05-25,08:46:19.000000Z,POINT (476518.5 5254879.5)
2022-05-27 07:45:48+00:00,5.24,Clear sky,/storage/emulated/0/Android/data/uk.co.lutraconsulting/files/projects/LAI_Eschikon_ETH_2022_06_05/JPEG_20220527_074553_5006501456641568696.jpg,No,By person,51,15.0,1,2022-05-27,07:45:48.000000Z,POINT (476518.5 5254879.5)
2022-05-30 08:38:08+00:00,5.89,Clear sky,/storage/emulated/0/Android/data/uk.co.lutraconsulting/files/projects/LAI_Eschikon_ETH_2022_06_05/JPEG_20220530_083813_5066231284770118217.jpg,No,By person,57,15.0,1,2022-05-30,08:38:08.000000Z,POINT (476518.5 5254879.5)
2022-06-01 09:18:10+00:00,5.96,Cloudy,/storage/emulated/0/Android/data/uk.co.lutraconsulting/files/projects/LAI_Eschikon_ETH_2022_06_05/JPEG_20220601_091911_3284781317355458366.jpg,No,By person,58,15.0,1,2022-06-01,09:18:10.000000Z,POINT (476518.5 5254879.5)
2022-06-03 08:55:15+00:00,6.25,Clear sky,/storage/emulated/0/Android/data/uk.co.lutraconsulting/files/projects/LAI_Eschikon_ETH_2022_06_05/JPEG_20220603_085550_7763104144769359598.jpg,No,By person,59,15.0,1,2022-06-03,08:55:15.000000Z,POINT (476518.5 5254879.5)
2022-06-06 08:50:03+00:00,6.3,Overcast,/storage/emulated/0/Android/data/uk.co.lutraconsulting/files/projects/LAI_Eschikon_ETH_2022_06_05/JPEG_20220606_085007_7215894771532772302.jpg,No,By clouds,62,15.0,1,2022-06-06,08:50:03.000000Z,POINT (476518.5 5254879.5)
2022-06-08 08:52:44+00:00,5.95,Clear sky,/storage/emulated/0/Android/data/uk.co.lutraconsulting/files/projects/LAI_Eschikon_ETH_2022_06_05/JPEG_20220608_085319_189770206080618604.jpg,No,By person,64,15.0,1,2022-06-08,08:52:44.000000Z,POINT (476518.5 5254879.5)
2022-06-10 09:12:03+00:00,6.04,Clear sky,/storage/emulated/0/Android/data/uk.co.lutraconsulting/files/projects/LAI_Eschikon_ETH_2022_06_05/JPEG_20220610_091210_998525473145948992.jpg,No,By person,65,15.0,1,2022-06-10,09:12:03.000000Z,POINT (476518.5 5254879.5)
2022-06-13 08:40:21+00:00,6.28,Overcast,/storage/emulated/0/Android/data/uk.co.lutraconsulting/files/projects/LAI_Eschikon_ETH_2022_06_05/JPEG_20220613_084023_1062936291381845014.jpg,No,By clouds,68,15.0,1,2022-06-13,08:40:21.000000Z,POINT (476518.5 5254879.5)
