Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
1262;München-Flughafen;TT_TU;18.05.1992-22:00;18.05.1992-22:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;TT_TU;27.05.1992-12:00;27.05.1992-12:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;TT_TU;28.05.1992-16:00;28.05.1992-16:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;TT_TU;14.06.1992-22:00;14.06.1992-22:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;TT_TU;17.12.1992-09:00;17.12.1992-09:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;TT_TU;21.03.1993-14:00;21.03.1993-14:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;TT_TU;20.05.1998-18:00;20.05.1998-18:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;TT_TU;09.09.1998-21:00;09.09.1998-21:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;TT_TU;16.09.1998-22:00;16.09.1998-22:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;TT_TU;17.09.1998-02:00;17.09.1998-02:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;TT_TU;20.09.1998-23:00;20.09.1998-23:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;TT_TU;25.11.1998-23:00;25.11.1998-23:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;TT_TU;26.11.1998-02:00;26.11.1998-02:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;TT_TU;23.04.2006-02:00;23.04.2006-02:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;TT_TU;18.11.2008-07:00;18.11.2008-07:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;RF_TU;18.05.1992-22:00;18.05.1992-22:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;RF_TU;27.05.1992-12:00;27.05.1992-12:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;RF_TU;28.05.1992-16:00;28.05.1992-16:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;RF_TU;14.06.1992-22:00;14.06.1992-22:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;RF_TU;17.12.1992-09:00;17.12.1992-09:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;RF_TU;21.03.1993-14:00;21.03.1993-14:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;RF_TU;20.05.1998-18:00;20.05.1998-18:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;RF_TU;09.09.1998-21:00;09.09.1998-21:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;RF_TU;16.09.1998-22:00;16.09.1998-22:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;RF_TU;17.09.1998-02:00;17.09.1998-02:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;RF_TU;20.09.1998-23:00;20.09.1998-23:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;RF_TU;25.11.1998-23:00;25.11.1998-23:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;RF_TU;26.11.1998-02:00;26.11.1998-02:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;RF_TU;01.09.2000-09:00;01.09.2000-09:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;RF_TU;27.09.2000-08:00;27.09.2000-08:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;RF_TU;23.04.2006-02:00;23.04.2006-02:00;1;;eor;                                                                                                                                  
1262;München-Flughafen;RF_TU;18.11.2008-07:00;18.11.2008-07:00;1;;eor;                                                                                                                                  
generiert: 30.03.2022 --  Deutscher Wetterdienst  --                                                                                                                                                    
