LAI_value,BBCH,date
0.13333333333333333,12.0,2008-12-10 00:00:00+01:00
0.15,14.0,2009-01-19 00:00:00+01:00
0.25333333333333335,23.0,2009-02-16 00:00:00+01:00
0.42,24.0,2009-03-12 00:00:00+01:00
1.0466666666666666,24.0,2009-03-26 00:00:00+01:00
1.9866666666666666,32.0,2009-04-09 00:00:00+02:00
4.053333333333334,34.0,2009-04-23 00:00:00+02:00
5.853333333333334,37.0,2009-05-07 00:00:00+02:00
5.823333333333333,39.0,2009-05-18 00:00:00+02:00
4.3933333333333335,59.0,2009-06-04 00:00:00+02:00
4.053333333333334,72.0,2009-06-18 00:00:00+02:00
0.33666666666666667,77.0,2009-07-02 00:00:00+02:00
0.0,89.0,2009-07-16 00:00:00+02:00
0.0,92.0,2009-07-27 00:00:00+02:00
